Year,State.Code,State.Name,Total.RecordedTests,English.GPA,Mathematics.GPA,Sciences.GPA,Income.Under.20k,Income.40-60k,Income.60-80k,Income.80-100k,Income.Over.100k
2010,AL,Alabama,3365,3.62,3.45,3.56,176,516,534,563,581
2010,AK,Alaska,3772,3.46,3.13,3.31,131,500,508,516,545
2010,AZ,Arizona,20690,3.5,3.27,3.4,1166,506,523,531,553
2010,AR,Arkansas,1340,3.69,3.52,3.58,71,546,562,574,591
2010,CA,California,210926,3.4,3.08,3.24,19669,501,520,537,563
2010,CO,Colorado,9328,3.59,3.39,3.51,249,550,558,574,586
2010,CT,Connecticut,36076,3.24,3.07,3.15,1432,482,498,518,551
2010,DE,Delaware,6787,3.34,3.16,3.27,337,476,493,506,535
2010,DC,District Of Columbia,4141,3.16,2.96,3.1,402,413,441,505,566
2010,FL,Florida,102741,3.38,3.09,3.26,9183,495,508,521,541
2010,GA,Georgia,66019,3.4,3.17,3.27,5484,476,493,511,540
2010,HI,Hawaii,8068,3.31,3.04,3.21,452,484,495,515,550
2010,ID,Idaho,3336,3.59,3.32,3.49,157,529,542,556,566
2010,IL,Illinois,8508,3.58,3.46,3.51,334,571,584,610,629
2010,IN,Indiana,3336,3.32,3.07,3.19,2714,495,508,519,545
2010,IA,Iowa,1099,3.8,3.63,3.73,40,625,594,631,627
2010,KS,Kansas,1822,3.69,3.51,3.61,43,585,566,615,618
2010,KY,Kentucky,2808,3.72,3.59,3.64,83,549,560,572,587
2010,LA,Louisiana,2447,3.55,3.41,3.48,121,517,527,552,575
2010,ME,Maine,15383,3.26,3.09,3.18,397,492,507,515,539
2010,MD,Maryland,46370,3.29,3.06,3.21,1988,477,501,516,549
2010,MA,Massachusetts,61104,3.23,3.1,3.16,2900,505,516,532,565
2010,MI,Michigan,5606,3.73,3.59,3.65,193,576,591,602,621
2010,MN,Minnesota,4390,3.71,3.56,3.61,94,580,579,609,619
2010,MS,Mississippi,938,3.7,3.61,3.69,62,531,538,565,582
2010,MO,Missouri,5606,3.65,3.54,3.61,62,570,574,591,608
2010,MT,Montana,4390,3.53,3.22,3.43,118,535,541,548,559
2010,NE,Nebraska,957,3.76,3.63,3.71,21,581,594,602,604
2010,NV,Nevada,9460,3.42,3.08,3.29,541,498,501,512,526
2010,NH,New Hampshire,12351,3.34,3.09,3.22,381,501,513,519,553
2010,NJ,New Jersey,84874,3.32,3.16,3.22,4318,492,505,519,551
2010,NM,New Mexico,2074,3.56,3.34,3.52,95,526,532,550,576
2010,NY,New York,161139,3.31,3.06,3.1,13330,492,506,521,551
2010,NC,North Carolina,57841,3.47,3.21,3.36,4144,500,516,531,558
2010,ND,North Dakota,265,3.76,3.62,3.73,11,608,619,597,576
2010,OH,Ohio,28384,3.51,3.38,3.43,1074,522,540,548,572
2010,OK,Oklahoma,1895,3.69,3.56,3.64,86,548,555,575,583
2010,OR,Oregon,18461,3.51,3.26,3.42,1061,512,523,536,557
2010,PA,Pennsylvania,104593,3.42,3.23,3.29,5186,489,502,515,546
2010,RI,Rhode Island,8369,3.26,3.05,3.16,446,483,498,517,542
2010,SC,South Carolina,25122,3.41,3.24,3.3,2231,489,499,517,543
2010,SD,South Dakota,234,3.74,3.61,3.71,7,609,609,583,589
2010,TN,Tennessee,5461,3.66,3.51,3.59,171,533,567,562,588
2010,TX,Texas,148102,3.45,3.23,3.31,13775,496,510,528,556
2010,UT,Utah,1933,3.72,3.47,3.61,41,542,556,562,575
2010,VT,Vermont,5164,3.4,3.21,3.27,196,512,528,532,559
2010,VA,Virginia,59031,3.37,3.13,3.28,2647,488,501,519,551
2010,WA,Washington,37631,3.52,3.21,3.37,1876,513,526,537,561
2010,WV,West Virginia,2873,3.63,3.44,3.55,145,489,506,509,535
2010,WI,Wisconsin,3002,3.71,3.57,3.64,70,581,595,611,615
2010,WY,Wyoming,256,3.73,3.5,3.59,11,536,584,523,575
2011,AL,Alabama,3664,3.59,3.43,3.53,185,509,531,545,576
2011,AK,Alaska,3866,3.45,3.11,3.29,132,499,510,515,531
2011,AZ,Arizona,22845,3.49,3.27,3.4,1419,510,521,531,552
2011,AR,Arkansas,1345,3.68,3.57,3.61,66,548,569,564,594
2011,CA,California,222658,3.39,3.08,3.24,21762,503,519,537,564
2011,CO,Colorado,9675,3.62,3.41,3.52,239,554,561,574,582
2011,CT,Connecticut,36774,3.24,3.09,3.16,1529,482,497,512,551
2011,DE,Delaware,7092,3.32,3.17,3.27,417,474,488,503,538
2011,DC,District Of Columbia,4116,3.17,3.01,3.06,317,425,461,478,559
2011,FL,Florida,114769,3.36,3.09,3.24,10869,488,503,517,536
2011,GA,Georgia,72510,3.4,3.19,3.27,6010,472,486,502,534
2011,HI,Hawaii,8731,3.31,3.04,3.22,541,479,491,512,550
2011,ID,Idaho,3557,3.61,3.32,3.48,178,517,546,543,560
2011,IL,Illinois,7819,3.65,3.54,3.58,208,584,593,608,629
2011,IN,Indiana,48267,3.33,3.07,3.19,2986,490,501,515,542
2011,IA,Iowa,1254,3.78,3.61,3.69,37,594,578,605,626
2011,KS,Kansas,2093,3.67,3.52,3.61,59,577,567,604,604
2011,KY,Kentucky,2692,3.73,3.58,3.65,71,545,556,576,585
2011,LA,Louisiana,2787,3.55,3.43,3.49,129,525,539,538,584
