"State.Name", "2014-2015 Graduation Rates %", "2013-2014 Graduation Rates %", "2012-2013 Graduation Rates %", "2011-2012 Graduation Rates %", "2012-2013 Graduation Rates %"
Alabama,84.7,81.5,71.8,66,62
Alabama,84.7,81.5,71.8,66,62
Alaska,66.6,59.6,59.5,59,56
Arizona,73.1,69.9,69.4,71,73
Arkansas,81.7,82.7,80.3,79,75
California,78.0,76.0,74.8,73,70
Colorado,65.5,64.2,63.7,61,62
Connecticut,75.9,75.9,72.1,70,63
Delaware,76.0,81.0,74.2,72,71
District of Columbia,68.2,60.1,58.9,70,58
Florida,70.4,67.8,67.0,65,60
Georgia,74.5,62.5,63.8,61,59
Hawaii,75.9,77.6,78.2,78,75
Idaho,72.0,71.3,N/A,N/A,N/A
Illinois,77.9,78.5,73.0,73,75
Indiana,84.2,85.4,82.7,85,79
Iowa,84.8,84.1,80.4,80,78
Kansas,77.3,76.9,76.6,76,73
Kentucky,84.8,84.0,85.4,N/A,N/A
Louisiana,70.8,68.8,67.7,66,64
Maine,75.6,77.8,76.9,76,73
Maryland,78.6,77.8,75.8,75,74
Massachusetts,78.2,76.0,73.6,72,70
Michigan,67.5,65.6,63.9,64,63
Minnesota,67.2,65.9,63.8,59,58
Mississippi,70.5,70.9,70.2,70,69
Missouri,80.7,80.4,78.0,76,75
Montana,76.9,75.4,74.5,73,71
Nebraska,81.4,82.4,80.9,80,78
Nevada,63.7,63.6,64.0,58,53
New Hampshire,76.7,77.2,75.7,73,72
New Jersey,81.7,79.6,77.1,75,71
New Mexico,63.5,62.3,64.7,65,56
New York,71.0,68.8,67.5,68,69
North Carolina,79.6,78.0,76.1,75,71
North Dakota,71.0,72.0,72.0,74,76
Ohio,68.7,69.2,69.6,68,65
Oklahoma,77.5,78.2,79.7,N/A,N/A
Oregon,66.4,64.2,60.4,61,61
Pennsylvania,75.9,76.5,76.5,74,71
Rhode Island,75.6,71.1,69.3,66,66
South Carolina,73.7,72.5,70.5,68,67
South Dakota,67.0,65.0,67.0,67,67
Tennessee,83.5,82.2,80.7,82,80
Texas,85.6,85.2,85.2,85,84
Utah,76.7,73.5,72.9,70,65
Vermont,78.0,78.0,75.0,77,77
Virginia,75.4,75.1,74.0,72,70
Washington,68.1,66.8,65.0,66,66
West Virginia,82.9,80.1,73.7,72,69
Wisconsin,77.3,77.9,76.6,75,74
Wyoming,66.0,65.0,64.0,65,66
