Year,State.Code,State.Name,Total.Math,Total.Test-takers,Total.Verbal,English.Average.GPA,English.Average.Years,Mathematics.Average GPA,Mathematics.Average.Years,Natural.Sciences.Average.GPA,Natural Sciences.Average.Years,Family.Income.Between.20-40k.Math,Family.Income.Between.20-40k.Test-takers,Family.Income.Between.20-40k.Verbal,Family Income.Between 40-60k.Math,Family.Income.Between.40-60k.Test-takers,Family Income.Between 40-60k.Verbal,Family.Income.Between.60-80k.Math,Family Income.Between 60-80k.Test-takers,Family.Income.Between.60-80k.Verbal,Family.Income.Between.80-100k.Math,Family.Income.Between.80-100k.Test-takers,Family.Income.Between.80-100k.Verbal,Family.Income.Less.than 20k.Math,Family.Income.Less.than.20k.Test-takers,Family.Income.Less.than.20k.Verbal,Family.Income.More.than.100k.Math,Family.Income.More.than.100k.Test-takers,Family Income.More than 100k.Verbal
2010,AL,Alabama,550,3365,556,3.62,3.9,3.45,4.0,3.56,3.9,490,241,501,516,283,530,534,326,549,563,358,575,445,176,452,581,998,581
2010,AK,Alaska,515,3772,518,3.46,3.9,3.13,3.6,3.31,3.3,485,250,496,500,320,498,508,422,519,516,410,526,450,131,460,545,927,540
2010,AZ,Arizona,527,20690,519,3.5,3.9,3.27,4.0,3.4,3.4,491,2148,487,506,2217,505,523,2118,519,531,1900,525,472,1166,463,553,4486,542
2010,AR,Arkansas,568,1340,566,3.69,4.0,3.52,4.2,3.58,3.8,530,132,523,546,135,549,562,166,563,574,160,578,510,71,489,591,333,591
2010,CA,California,518,210926,501,3.4,3.9,3.08,3.7,3.24,3.3,477,24459,461,501,17908,488,520,15514,508,537,13529,525,457,19669,436,563,41663,550
2010,CO,Colorado,574,9328,568,3.59,4.0,3.39,4.0,3.51,3.8,532,463,539,550,662,551,558,836,558,574,892,569,507,249,498,586,3064,578
2010,CT,Connecticut,514,36076,509,3.24,3.9,3.07,3.9,3.15,3.6,457,2092,458,482,2389,480,498,2714,498,518,2742,514,426,1432,424,551,8642,542
2010,DE,Delaware,495,6787,493,3.34,3.9,3.16,3.9,3.27,3.7,449,638,449,476,675,478,493,690,488,506,581,503,436,337,430,535,1441,534
2010,DC,District Of Columbia,455,4141,470,3.16,3.8,2.96,3.7,3.1,3.3,399,373,406,413,254,431,441,196,451,505,127,525,377,402,384,566,685,580
2010,FL,Florida,499,102741,496,3.38,3.8,3.09,3.9,3.26,3.6,473,13447,474,495,10930,496,508,9400,508,521,7455,516,441,9183,442,541,16928,534
2010,GA,Georgia,490,66019,488,3.4,3.8,3.17,3.9,3.27,3.5,454,7542,456,476,7166,479,493,6283,494,511,5268,510,429,5484,427,540,12366,534
2010,HI,Hawaii,505,8068,483,3.31,3.9,3.04,3.8,3.21,3.5,475,734,460,484,784,468,495,884,473,515,710,492,462,452,441,550,1309,523
2010,ID,Idaho,541,3336,543,3.59,4.0,3.32,3.9,3.49,3.5,515,343,522,529,427,533,542,413,549,556,366,552,513,157,519,566,646,559
2010,IL,Illinois,601,8508,585,3.58,4.0,3.46,4.0,3.51,3.8,529,469,518,571,570,554,584,639,573,610,641,595,471,334,462,629,2592,614
2010,IN,Indiana,541,3336,543,3.32,3.9,3.07,3.9,3.19,3.4,476,5314,469,495,5887,485,508,6161,496,519,4666,504,446,2714,443,545,8088,528
2010,IA,Iowa,614,1099,603,3.8,4.1,3.63,4.2,3.73,3.9,548,53,554,625,84,604,594,117,605,631,126,614,558,40,503,627,332,621
2010,KS,Kansas,595,1822,589,3.69,4.0,3.51,4.0,3.61,3.7,556,97,541,585,129,586,566,197,570,615,189,612,549,43,509,618,586,615
2010,KY,Kentucky,575,2808,575,3.72,4.0,3.59,4.1,3.64,3.7,538,181,531,549,225,553,560,296,568,572,297,578,536,83,524,587,854,591
2010,LA,Louisiana,550,2447,555,3.55,4.0,3.41,4.2,3.48,3.8,496,181,502,517,211,529,527,209,542,552,192,568,470,121,461,575,677,577
2010,ME,Maine,467,15383,468,3.26,3.9,3.09,3.8,3.18,3.6,471,729,483,492,723,495,507,687,510,515,511,512,434,397,441,539,1084,536
2010,MD,Maryland,506,46370,501,3.29,3.9,3.06,3.9,3.21,3.5,456,3179,453,477,3533,476,501,3710,497,516,3635,509,431,1988,425,549,12102,540
2010,MA,Massachusetts,527,61104,512,3.23,3.9,3.1,3.9,3.16,3.7,483,3573,467,505,4168,492,516,4941,507,532,4705,519,453,2900,430,565,13440,549
2010,MI,Michigan,605,5606,585,3.73,4.0,3.59,4.1,3.65,3.9,546,310,525,576,398,555,591,504,582,602,542,582,528,193,496,621,1697,600
2010,MN,Minnesota,608,4390,594,3.71,4.0,3.56,4.1,3.61,3.8,556,199,545,580,292,563,579,416,571,609,398,607,540,94,504,619,1430,607
2010,MS,Mississippi,548,938,566,3.7,4.0,3.61,4.2,3.69,3.9,512,85,525,531,100,557,538,106,560,565,87,587,454,62,464,582,221,603
2010,MO,Missouri,605,5606,585,3.65,4.0,3.54,4.0,3.61,3.8,538,157,542,570,222,580,574,227,583,591,238,587,531,62,506,608,933,608
2010,MT,Montana,607,4390,594,3.53,4.0,3.22,3.8,3.43,3.4,514,254,525,535,370,530,541,349,541,548,278,539,507,118,513,559,452,552
2010,NE,Nebraska,593,957,585,3.76,4.0,3.63,4.1,3.71,3.9,571,58,571,581,94,566,594,118,584,602,99,597,527,21,541,604,254,606
2010,NV,Nevada,501,9460,496,3.42,3.9,3.08,4.0,3.29,3.5,477,1058,472,498,1108,493,501,995,499,512,855,508,460,541,447,526,1821,520
2010,NH,New Hampshire,524,12351,520,3.34,4.0,3.09,3.9,3.22,3.6,490,739,489,501,1069,503,513,1335,510,519,1135,518,475,381,471,553,2786,544
2010,NJ,New Jersey,514,84874,495,3.32,3.9,3.16,3.8,3.22,3.6,466,5901,446,492,6249,474,505,6653,488,519,6565,501,437,4318,415,551,20261,529
2010,NM,New Mexico,549,2074,553,3.56,3.9,3.34,4.0,3.52,3.6,517,202,524,526,234,532,532,250,539,550,199,566,523,95,491,576,510,579
2010,NY,New York,499,161139,484,3.31,3.8,3.06,3.8,3.1,3.6,472,15327,455,492,13066,480,506,12217,495,521,10797,506,444,13330,419,551,25921,534
2010,NC,North Carolina,511,57841,497,3.47,3.8,3.21,3.9,3.36,3.5,476,6823,460,500,6614,487,516,6272,501,531,5027,515,449,4144,432,558,10568,543
2010,ND,North Dakota,597,265,579,3.76,4.1,3.62,4.1,3.73,3.8,570,32,557,608,33,599,619,27,600,597,36,589,493,11,508,576,61,595
2010,OH,Ohio,548,28384,538,3.51,3.9,3.38,4.0,3.43,3.8,496,1932,494,522,2569,517,540,2915,533,548,3073,540,465,1074,462,572,7864,558
2010,OK,Oklahoma,568,1895,569,3.69,3.9,3.56,4.0,3.64,3.7,547,152,535,548,213,559,555,187,568,575,214,578,516,86,502,583,505,583
2010,OR,Oregon,526,18461,523,3.51,3.9,3.26,3.8,3.42,3.3,498,1903,498,512,2176,517,523,2131,523,536,1781,535,476,1061,471,557,3516,553
2010,PA,Pennsylvania,502,104593,492,3.42,3.9,3.23,3.9,3.29,3.7,466,9708,460,489,11673,482,502,11744,493,515,9633,505,434,5186,426,546,19074,533
2010,RI,Rhode Island,495,8369,494,3.26,3.9,3.05,3.9,3.16,3.6,466,520,464,483,641,485,498,776,495,517,682,518,422,446,420,542,1578,538
2010,SC,South Carolina,495,25122,484,3.41,3.9,3.24,4.0,3.3,3.6,464,3267,452,489,2994,478,499,2776,487,517,2365,506,433,2231,423,543,4405,528
2010,SD,South Dakota,603,234,592,3.74,4.0,3.61,4.3,3.71,4.0,547,21,559,609,30,587,609,32,591,583,24,618,549,7,510,589,59,617
2010,TN,Tennessee,571,5461,576,3.66,4.0,3.51,4.1,3.59,3.7,524,328,539,533,420,556,567,505,574,562,470,578,503,171,504,588,1673,591
2010,TX,Texas,506,148102,484,3.45,3.9,3.23,3.8,3.31,3.5,472,18953,450,496,15286,478,510,12928,493,528,11328,509,446,13775,421,556,28246,534
2010,UT,Utah,559,1933,568,3.72,4.0,3.47,3.9,3.61,3.6,502,94,526,542,139,554,556,196,568,562,194,578,530,41,542,575,594,587
2010,VT,Vermont,521,5164,519,3.4,3.9,3.21,3.9,3.27,3.6,491,464,493,512,605,519,528,643,522,532,512,531,467,196,474,559,826,550
2010,VA,Virginia,512,59031,512,3.37,3.9,3.13,4.1,3.28,3.8,463,4793,465,488,5138,490,501,5494,501,519,5119,520,439,2647,435,551,15170,549
2010,WA,Washington,532,37631,524,3.52,3.9,3.21,3.9,3.37,3.4,497,3123,487,513,3544,511,526,3907,522,537,3614,529,473,1876,455,561,8838,552
2010,WV,West Virginia,507,2873,515,3.63,3.9,3.44,4.2,3.55,3.9,489,287,499,489,386,501,506,399,509,509,337,520,450,145,467,535,638,538
2010,WI,Wisconsin,604,3002,595,3.71,4.0,3.57,4.1,3.64,3.9,562,143,549,581,218,580,595,308,590,611,309,604,543,70,529,615,909,610
