"State", "Overall Graduation Rate", "American Indian/Alaska Native Graduation Rate", "Asian/Pacific Islander Graduation Rate", "Hispanic Graduation Rate", "Black Graduation Rate", "White Graduation Rate"
"Alabama","89.3%","American Indian/Alaska Native: N/A","Asian/Pacific Islander: 95%","Hispanic: 88%","Black: 86.5%","White: 91%"
"Alaska","78.2%","American Indian/Alaska Native: 69%","Asian/Pacific Islander: 84%","Hispanic: 77%","Black: 74%","White: 82.2%"
"Arizona","78.0%","American Indian/Alaska Native: 66.8%","Asian/Pacific Islander: 89%","Hispanic: 74.5%","Black: 73.8%","White: 82.8%"
"Arkansas","88.0%","American Indian/Alaska Native: 89%","Asian/Pacific Islander: 86%","Hispanic: 85.7%","Black: 83.4%","White: 90%"
"California","82.7%","American Indian/Alaska Native: 68.2%","Asian/Pacific Islander: 92.6%","Hispanic: 80.3%","Black: 73.1%","White: 87.3%"
"Colorado","79.1%","American Indian/Alaska Native: 64%","Asian/Pacific Islander: 89%","Hispanic: 71.1%","Black: 71.9%","White: 83.9%"
"Connecticut","87.9%","American Indian/Alaska Native: 88%","Asian/Pacific Islander: 95%","Hispanic: 77.7%","Black: 80.1%","White: 92.8%"
"Delaware","86.9%","American Indian/Alaska Native: 76%","Asian/Pacific Islander: 95%","Hispanic: 82%","Black: 83.2%","White: 89.9%"
"District of Columbia","73.2%", "American Indian/Alaska Native: 82%", "Asian/Pacific Islander: 78%","Hispanic: 72%","Black: 72.4%","White: 85%"
"Florida","82.3%","American Indian/Alaska Native: 80%","Asian/Pacific Islander: 92.9%","Hispanic: 81.3%","Black: 74.8%","White: 86.2%"
"Georgia","80.6%","American Indian/Alaska Native: 79%","Asian/Pacific Islander: 91.2%","Hispanic: 73.6%","Black: 77.8%","White: 84.0%"
"Hawaii","82.7%","American Indian/Alaska Native: 79%","Asian/Pacific Islander: 83.5%","Hispanic: 80%","Black: 79%","White: 80%"
"Idaho","79.7%","American Indian/Alaska Native: 66%","Asian/Pacific Islander: 85%","Hispanic: 74.8%","Black: 70%","White: 81.1%"
"Illinois","87.0%","American Indian/Alaska Native: 81%","Asian/Pacific Islander: 94.5%","Hispanic: 83.5%","Black: 78.9%","White: 90.6%"
"Indiana","83.8%","American Indian/Alaska Native: 76%","Asian/Pacific Islander: 80%","Hispanic: 75.8%","Black: 70.8%","White: 87.5%"
"Iowa","91.0%","","","","American Indian/Alaska Native: 83%","Asian/Pacific Islander: 91%","Hispanic: 82.4%","Black: 82%","White: 92.7%"
"Kansas","86.5%","","","","American Indian/Alaska Native: 81%","Asian/Pacific Islander: 93%","Hispanic: 81.1%","Black: 78%","White: 88.8%"
"Kentucky","89.7%","","","","American Indian/Alaska Native: 77%","Asian/Pacific Islander: 92%","Hispanic: 84%","Black: 81.6%","White: 91.2%"
"Louisiana","78.1%","","","","American Indian/Alaska Native: 81%","Asian/Pacific Islander: 90%","Hispanic: 67%","Black: 72.8%","White: 83.7%"
"Maine","86.9%","","","","American Indian/Alaska Native: 71%","Asian/Pacific Islander: 89%","Hispanic: 89%","Black: 83%","White: 87.4%"
"Maryland","87.7%","","","","American Indian/Alaska Native: 86%","Asian/Pacific Islander: 96.2%","Hispanic: 74.0%","Black: 85.4%","White: 92.7%"
"Massachusetts","88.3%","","","","American Indian/Alaska Native: 81%","Asian/Pacific Islander: 93.9%","Hispanic: 74.4%","Black: 80.0%","White: 92.6%"
"Michigan","80.2%","","","","American Indian/Alaska Native: 68%","Asian/Pacific Islander: 90.5%","Hispanic: 73.3%","Black: 68.6%","White: 83.7%"
"Minnesota","82.7%","","","","American Indian/Alaska Native: 51%","Asian/Pacific Islander: 85.2%","Hispanic: 66.3%","Black: 64.8%","White: 88.1%"
"Mississippi","83.0%","","","","American Indian/Alaska Native: 80%","Asian/Pacific Islander: 91%","Hispanic: 81%","Black: 79.3%","White: 87.1%"
"Missouri","88.3%","","","","American Indian/Alaska Native: 84%","Asian/Pacific Islander: 91%","Hispanic: 84.4%","Black: 75.9%","White: 91.4%"
"Montana","85.8%","","","","American Indian/Alaska Native: 69%","Asian/Pacific Islander: 91%","Hispanic: 80%","Black: 81%","White: 88.7%"
"Nebraska","89.1%","","","","American Indian/Alaska Native: 70%","Asian/Pacific Islander: 82%","Hispanic: 81.6%","Black: 81%","White: 92.5%"
"Nevada","80.9%","","","","American Indian/Alaska Native: 74%","Asian/Pacific Islander: 91%","Hispanic: 79.7%","Black: 67.7%","White: 84.2%"
"New Hampshire","88.9%","","","","American Indian/Alaska Native: 75%","Asian/Pacific Islander: 93%","Hispanic: 76%","Black: 79%","White: 89.8%"
