"State.Name", "2014-2015 Graduation Rates %", "2013-2014 Graduation Rates %", "2012-2013 Graduation Rates %", "2011-2012 Graduation Rates %", "2012-2013 Graduation Rates %"
Alabama,72.4,64.4,76.9,54,30
Alaska,57.0,42.0,43.0,46,40
Arizona,64.4,63.3,63.3,65,67
Arkansas,81.9,83.1,80.4,79,75
California,65.0,62.0,61.9,61,59
Colorado,53.8,54.6,53.8,54,53
Connecticut,65.6,65.2,64.7,64,62
Delaware,66.0,68.0,60.0,57,56
District of Columbia,46.0,41.0,41.0,44,39
Florida,56.8,55.1,52.3,48,44
Georgia,54.3,36.5,35.1,35,30
Hawaii,60.0,59.0,61.0,60,59
Idaho,58.0,59.0,N/A,N/A,N/A
Illinois,70.5,71.8,70.1,69,66
Indiana,70.9,73.4,69.3,71,65
Iowa,77.0,76.4,72.7,73,70
Kansas,77.3,76.7,77.8,77,73
Kentucky,66.0,70.8,52.0,N/A,N/A
Louisiana,44.3,42.8,36.7,33,29
Maine,74.0,71.0,70.0,70,66
Maryland,63.9,63.5,60.0,57,57
Massachusetts,69.9,69.1,67.8,69,66
Michigan,57.1,55.1,53.6,54,52
Minnesota,61.1,58.4,58.2,56,56
Mississippi,30.7,28.1,22.5,32,23
Missouri,76.6,75.3,73.4,70,69
Montana,75.0,76.0,76.0,81,69
Nebraska,71.0,72.0,71.0,72,70
Nevada,29.0,27.6,26.4,24,23
New Hampshire,73.0,72.0,71.0,70,69
New Jersey,78.0,76.6,75.9,74,73
New Mexico,59.3,56.5,60.1,56,47
New York,52.9,51.8,47.2,48,48
North Carolina,67.3,64.4,62.3,60,57
North Dakota,68.0,70.0,70.0,68,67
Ohio,67.0,68.4,69.2,68,67
Oklahoma,75.6,77.2,78.5,N/A,N/A
Oregon,52.7,51.1,37.2,38,42
Pennsylvania,71.5,70.9,75.0,70,71
Rhode Island,68.0,60.0,59.0,59,58
South Carolina,49.0,43.2,43.2,40,39
South Dakota,60.0,59.0,60.0,64,64
Tennessee,70.0,69.0,67.3,73,67
Texas,78.2,77.5,77.8,77,77
Utah,67.9,68.2,67.4,64,59
Vermont,72.0,70.0,68.0,71,69
Virginia,52.6,53.2,51.5,49,47
Washington,58.0,55.8,54.6,58,56
West Virginia,69.0,70.3,62.1,60,60
Wisconsin,67.5,69.0,68.7,69,67
Wyoming,59.0,62.0,59.0,59,57
